id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces
7404,Resort Hotel,86,2015,October,43,19,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40.0,,0,Contract,79.63,0
7405,Resort Hotel,82,2016,May,21,21,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,62.83,0
7406,Resort Hotel,60,2017,August,32,11,3,7,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,137.0,0
7407,City Hotel,35,2017,March,9,2,2,3,2,0.0,1,BB,CHE,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,85.0,,0,Transient,68.0,0
7408,Resort Hotel,236,2016,May,20,12,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,D,0,No Deposit,315.0,,0,Transient-Party,48.0,0
7409,City Hotel,12,2017,May,21,23,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,110.0,0
7410,City Hotel,405,2017,July,27,4,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,91.5,0
7411,Resort Hotel,152,2017,April,14,5,0,4,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,D,1,No Deposit,,223.0,0,Transient-Party,42.0,0
7412,City Hotel,81,2015,December,53,30,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,111.0,0
7413,City Hotel,296,2016,September,39,21,0,4,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,26.0,,0,Transient-Party,96.0,0
7414,City Hotel,57,2016,June,24,10,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.67,0
7415,City Hotel,9,2016,August,33,8,1,2,2,1.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,171.0,0
7416,Resort Hotel,16,2015,December,51,19,0,1,2,1.0,1,BB,ESP,Online TA,TA/TO,0,0,0,C,G,0,No Deposit,240.0,,0,Transient,69.0,1
7417,Resort Hotel,12,2016,January,3,16,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,48.0,0
7418,Resort Hotel,6,2017,May,22,31,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,175.0,,0,Transient,79.0,1
7419,Resort Hotel,80,2016,April,15,7,0,3,2,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,67.0,,0,Transient-Party,68.0,0
7420,City Hotel,251,2016,March,13,22,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,93,Transient,125.0,0
7421,City Hotel,308,2016,September,36,1,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,68.69,0
7422,City Hotel,17,2015,September,39,26,2,2,1,0.0,0,BB,DNK,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,170.0,0
7423,City Hotel,18,2015,October,41,4,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,0,Transient,110.0,0
7424,City Hotel,140,2017,May,22,30,0,4,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.5,0
7425,Resort Hotel,288,2017,April,16,20,2,7,2,0.0,1,Undefined,SWE,Groups,TA/TO,0,0,0,C,C,0,No Deposit,527.0,,14,Transient,131.0,0
7426,Resort Hotel,48,2017,July,31,30,2,3,2,1.0,0,HB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,196.92,0
7427,City Hotel,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,37.0,,0,Transient,75.0,0
7428,Resort Hotel,3,2016,December,50,9,0,2,2,0.0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,240.0,,0,Transient,65.0,0
7429,City Hotel,176,2017,April,15,14,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Transient-Party,90.0,0
7430,City Hotel,18,2015,October,42,16,2,3,2,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,107.65,0
7431,City Hotel,28,2017,April,17,28,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.0,0
7432,City Hotel,7,2015,December,52,26,2,1,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,98.6,0
7433,City Hotel,8,2016,November,45,2,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.6,0
7434,City Hotel,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0
7435,Resort Hotel,6,2016,January,3,13,0,1,1,0.0,0,BB,,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,184.0,,0,Transient,37.0,0
7436,Resort Hotel,17,2017,May,21,22,4,10,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,147.36,0
7437,City Hotel,172,2017,February,8,25,2,2,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0
7438,City Hotel,117,2017,March,12,22,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.8,0
7439,Resort Hotel,37,2016,July,31,30,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient-Party,179.0,0
7440,Resort Hotel,1,2016,August,33,7,1,0,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,169.0,0
7441,City Hotel,65,2016,April,15,8,1,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.8,0
7442,City Hotel,52,2016,October,44,23,2,3,2,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,83.0,,0,Transient,145.24,0
7443,City Hotel,169,2017,June,23,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,170.0,0
7444,City Hotel,172,2017,June,26,27,0,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0
7445,City Hotel,224,2015,October,40,2,1,2,2,0.0,1,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,3.0,,0,Transient-Party,65.0,0
7446,City Hotel,337,2015,September,38,19,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0
7447,City Hotel,181,2017,August,33,19,2,5,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient-Party,124.59,0
7448,City Hotel,17,2016,October,41,7,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0
7449,Resort Hotel,8,2016,April,15,6,1,4,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,65.0,0
7450,City Hotel,118,2016,June,24,6,1,1,1,0.0,0,BB,ISR,Offline TA/TO,Corporate,0,0,0,A,A,1,No Deposit,191.0,,0,Transient-Party,110.0,0
7451,Resort Hotel,22,2016,May,20,9,1,1,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,75.0,0
7452,City Hotel,19,2016,May,19,2,1,2,2,0.0,0,BB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,,0,Transient-Party,130.0,0
7453,City Hotel,12,2015,December,53,30,2,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.67,0
7454,Resort Hotel,0,2016,August,32,4,0,1,4,0.0,0,BB,PRT,Direct,Direct,1,0,0,C,C,1,No Deposit,,,0,Transient,205.0,0
7455,Resort Hotel,65,2016,August,34,17,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,171.17,0
7456,City Hotel,248,2017,April,15,9,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58.0,,0,Transient-Party,80.0,0
7457,City Hotel,86,2015,September,39,24,0,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,12.0,,0,Transient-Party,105.0,0
7458,City Hotel,0,2015,August,34,19,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,124.0,0
7459,City Hotel,318,2015,August,36,31,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0
7460,Resort Hotel,0,2016,February,9,23,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,314.0,,0,Transient,34.4,0
7461,City Hotel,36,2017,May,22,31,0,3,2,0.0,0,SC,ARG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,146.67,0
7462,City Hotel,139,2017,March,12,22,2,5,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,83.0,,0,Transient,70.4,0
7463,Resort Hotel,10,2017,August,34,22,0,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,275.33,0
7464,City Hotel,94,2016,August,32,4,0,2,0,2.0,0,BB,BEL,Direct,Direct,0,0,0,B,B,0,No Deposit,14.0,,0,Transient,90.25,0
7465,City Hotel,56,2017,March,11,12,1,0,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.2,0
7466,City Hotel,213,2016,July,30,21,2,3,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,,0,Transient,167.95,1
7467,City Hotel,269,2017,April,15,11,0,4,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,123.3,0
7468,City Hotel,16,2015,September,39,25,1,2,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,170.0,0
7469,City Hotel,29,2017,January,1,2,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.7,0
7470,City Hotel,103,2016,July,29,15,2,5,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.59,0
7471,City Hotel,254,2016,September,39,24,1,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0
7472,City Hotel,47,2017,March,11,13,1,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,134.8,0
7473,City Hotel,67,2017,February,7,12,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0
7474,City Hotel,162,2017,June,26,29,2,4,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,128.4,0
7475,Resort Hotel,265,2016,June,25,15,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,,0,Transient,68.4,0
7476,City Hotel,17,2015,October,40,2,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Contract,121.75,0
7477,City Hotel,342,2015,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0
7478,City Hotel,243,2017,July,30,26,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0
7479,City Hotel,116,2017,March,12,24,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient-Party,90.0,0
7480,Resort Hotel,0,2016,January,1,1,0,1,2,0.0,0,BB,PRT,Direct,Direct,1,0,1,A,D,0,No Deposit,,,0,Transient,50.0,1
7481,City Hotel,2,2017,April,14,5,0,3,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,150.0,0
7482,City Hotel,16,2016,December,53,29,0,3,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,120.0,0
7483,City Hotel,2,2017,April,15,10,1,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,154.0,0
7484,City Hotel,122,2017,July,29,19,0,4,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,199.13,0
7485,City Hotel,33,2016,September,37,9,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.1,0
7486,Resort Hotel,67,2016,December,53,27,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,44.81,1
7487,City Hotel,21,2016,February,8,17,0,3,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.0,0
7488,Resort Hotel,22,2015,December,49,4,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,52.4,0
7489,City Hotel,230,2016,September,37,6,0,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,,0,Transient-Party,137.0,0
7490,City Hotel,66,2016,November,46,7,1,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,179.1,0
7491,City Hotel,141,2017,July,29,20,2,8,3,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,174.6,0
7492,City Hotel,47,2015,December,49,5,2,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0
7493,Resort Hotel,108,2016,June,24,5,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,,0,Contract,62.9,0
7494,City Hotel,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,109.0,0
7495,City Hotel,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0
7496,City Hotel,239,2015,October,42,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0
7497,City Hotel,64,2016,October,42,15,2,3,3,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,109.65,0
7498,City Hotel,27,2017,July,28,14,2,3,2,1.0,0,BB,BEL,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,211.0,0
7499,City Hotel,115,2016,April,18,29,2,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,104.55,0
7500,City Hotel,46,2016,March,13,24,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0
7501,Resort Hotel,203,2016,May,20,10,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,248.0,,0,Transient-Party,46.0,0
7502,City Hotel,221,2015,October,42,17,2,1,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,3.0,,0,Transient-Party,60.0,0
7503,City Hotel,8,2017,April,17,23,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,102.0,0
7504,Resort Hotel,205,2017,June,23,4,2,2,1,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410.0,,0,Transient,55.5,0
7505,City Hotel,131,2016,August,32,1,1,1,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,164.25,0
7506,City Hotel,107,2016,November,46,6,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,89.0,,0,Transient,117.28,0
7507,Resort Hotel,0,2015,October,43,19,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,68.4,0
7508,City Hotel,163,2016,April,15,9,2,5,1,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,,0,Transient,73.37,0
7509,City Hotel,45,2016,June,25,17,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,65.0,0
7510,City Hotel,188,2015,August,35,23,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,89.25,0
7511,Resort Hotel,17,2016,December,53,30,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,120.0,0
7512,City Hotel,134,2017,February,8,25,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,30.0,,0,Transient-Party,75.0,0
7513,Resort Hotel,32,2017,June,23,6,2,5,2,0.0,0,HB,BEL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,479.0,,0,Transient,93.0,0
7514,City Hotel,122,2017,June,24,17,2,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,72.42,0
7515,City Hotel,88,2015,September,39,26,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0
7516,Resort Hotel,164,2017,July,26,1,2,5,1,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,121.43,0
7517,City Hotel,32,2017,April,14,3,1,3,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,190.0,0
7518,Resort Hotel,78,2017,June,25,20,1,5,1,2.0,0,HB,NGA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,228.0,0
7519,Resort Hotel,129,2017,June,25,23,0,2,2,0.0,0,BB,LUX,Direct,Direct,0,0,0,F,G,2,No Deposit,250.0,,0,Transient,169.0,1
7520,City Hotel,84,2015,November,48,27,1,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,56.0,0
7521,Resort Hotel,339,2017,March,10,11,2,5,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,51.0,0
7522,City Hotel,26,2016,September,40,27,0,4,2,2.0,0,BB,BEL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,226.5,0
7523,Resort Hotel,10,2017,February,6,6,1,1,2,0.0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,,507.0,0,Transient-Party,90.0,0
7524,Resort Hotel,167,2017,April,15,13,2,3,1,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,94.5,0
7525,City Hotel,19,2016,September,38,11,2,0,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,65.1,0
7526,Resort Hotel,5,2017,June,24,12,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,39.0,0,Transient,75.0,0
7527,City Hotel,90,2017,March,10,7,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,3,No Deposit,9.0,,0,Transient,112.2,0
7528,Resort Hotel,0,2016,September,40,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,4,A,D,0,No Deposit,,113.0,0,Transient,65.0,0
7529,Resort Hotel,60,2017,February,8,21,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,48.0,0
7530,City Hotel,8,2016,January,5,27,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,73.2,0
7531,City Hotel,80,2017,January,3,19,0,3,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,111.6,0
7532,City Hotel,153,2017,June,24,16,1,2,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0
7533,City Hotel,145,2016,July,28,7,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.3,0
7534,Resort Hotel,12,2015,October,44,31,1,1,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,36.0,0
7535,Resort Hotel,202,2016,May,21,20,3,7,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,118.0,0
7536,Resort Hotel,1,2017,April,14,8,2,5,2,0.0,0,BB,FRA,Direct,TA/TO,1,0,0,F,F,0,No Deposit,,,0,Transient,145.71,0
7537,Resort Hotel,226,2015,September,36,4,4,10,2,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,71.0,,0,Contract,62.48,0
7538,City Hotel,62,2016,September,38,14,1,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,149.4,0
7539,City Hotel,35,2015,October,41,7,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,66.53,0
7540,City Hotel,102,2016,May,19,5,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.6,0
7541,City Hotel,12,2015,October,41,4,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,3.0,,0,Transient-Party,72.0,0
7542,City Hotel,125,2016,May,19,6,0,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0
7543,Resort Hotel,2,2017,August,34,25,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,220.0,0
7544,City Hotel,107,2016,August,34,18,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,135.27,0
7545,City Hotel,40,2017,June,24,11,2,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,B,4,No Deposit,9.0,,0,Transient,231.5,0
7546,Resort Hotel,3,2017,February,7,16,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,1,No Deposit,,,0,Transient,43.0,0
7547,City Hotel,7,2015,September,37,11,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,138.0,0
7548,Resort Hotel,6,2015,November,47,16,1,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,337.0,0,Transient-Party,38.0,0
7549,Resort Hotel,1,2016,September,37,6,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,0.0,0
7550,City Hotel,117,2016,July,30,19,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,0
7551,Resort Hotel,94,2017,February,7,13,1,3,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,0,Transient-Party,62.0,0
7552,City Hotel,457,2016,October,43,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,391,Transient,65.0,0
7553,City Hotel,81,2016,May,19,1,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,119.85,0
7554,City Hotel,10,2016,April,17,22,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0
7555,City Hotel,14,2016,November,47,18,0,2,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.0,0
7556,Resort Hotel,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0
7557,City Hotel,10,2016,September,40,30,2,2,1,0.0,0,BB,ESP,Aviation,Corporate,1,2,1,D,D,0,No Deposit,,153.0,0,Transient,110.0,0
7558,City Hotel,70,2017,February,7,15,0,4,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,242.0,0,Transient,78.0,0
7559,City Hotel,7,2016,November,46,8,0,4,2,0.0,0,SC,UKR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,106.36,0
7560,City Hotel,215,2016,October,42,9,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,106.25,0
7561,City Hotel,126,2016,April,16,14,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,39,Transient,65.0,0
7562,Resort Hotel,79,2016,December,52,24,2,5,2,0.0,0,HB,HUN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,103.59,1
7563,Resort Hotel,3,2016,December,52,23,0,1,1,0.0,0,BB,BGR,Direct,Direct,0,0,0,A,D,1,No Deposit,250.0,499.0,0,Transient,44.0,0
